Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Latency
40,36,40,0,0,0.154239273
4,27,25,4,0,0.108693075
24,24,0,0,0,0.104935122
32,7,5,38,32,0.109170341
23,23,0,0,0,0.110539627
4,12,4,0,0,0.106383657
9,8,44,45,9,0.109913158
27,17,31,4,27,0.109027624
49,19,29,5,49,0.112950659
42,30,42,0,0,0.106770611
32,7,9,29,32,0.106639576
19,19,0,0,0,0.106661701
28,27,49,28,0,0.111771441
29,11,29,0,0,0.108572912
46,46,0,0,0,0.104126215
38,26,38,0,0,0.110191536
16,42,40,32,16,0.109167528
27,25,6,23,27,0.125061035
17,3,17,0,0,0.152913904
46,18,46,0,0,0.146627426
41,14,46,41,0,0.164723063
18,46,46,14,18,0.157623005
39,39,0,0,0,0.147989798
22,22,0,0,0,0.107439375
18,18,0,0,0,0.100507402
44,34,31,6,44,0.104453182
22,48,39,22,0,0.101230145
33,35,33,0,0,0.103262711
5,49,18,5,0,0.101735449
12,11,21,12,0,0.112335634
21,1,21,0,0,0.102701378
19,13,19,0,0,0.099943638
24,48,40,24,0,0.105678272
12,12,0,0,0,0.10281868
21,28,32,21,0,0.100377369
3,39,16,3,0,0.101335812
8,28,8,0,0,0.102412701
3,15,10,1,3,0.107016325
30,6,40,30,0,0.103236485
6,4,21,33,6,0.10746541
39,32,11,18,39,0.131980753
18,18,0,0,0,0.147196627
8,8,0,0,0,0.143950319
14,36,14,0,0,0.166583824
16,23,31,16,0,0.177711248
30,21,48,8,30,0.131372452
19,20,40,39,19,0.126801682
22,22,0,0,0,0.118462801
16,16,0,0,0,0.125203371
9,34,9,0,0,0.127219105
22,9,13,22,0,0.120783615
37,37,0,0,0,0.111847496
47,47,0,0,0,0.107727385
40,40,0,0,0,0.110503531
44,44,0,0,0,0.104991102
11,13,22,11,0,0.111755991
43,1,36,43,0,0.106725979
21,20,31,21,0,0.110197067
9,9,0,0,0,0.107094574
39,3,39,0,0,0.10658555
36,36,0,0,0,0.105555582
37,4,37,0,0,0.136847782
1,1,0,0,0,0.153639841
28,27,28,0,0,0.160066938
16,23,32,16,0,0.148781347
49,49,0,0,0,0.143989038
7,7,0,0,0,0.151088381
3,22,16,3,0,0.11283145
46,46,0,0,0,0.104790449
43,43,0,0,0,0.102720547
16,40,43,48,16,0.10776124
38,29,49,25,38,0.109923172
21,38,7,21,0,0.107829571
26,26,0,0,0,0.10057559
43,43,0,0,0,0.10265522
36,36,0,0,0,0.104364347
36,4,30,23,36,0.109382725
32,3,5,32,0,0.102891541
17,39,38,17,0,0.106148529
14,33,15,14,0,0.110177994
25,25,0,0,0,0.103591537
21,34,38,21,0,0.106298447
38,38,0,0,0,0.11204052
26,30,43,42,26,0.115609837
48,8,49,48,0,0.138758993
2,2,0,0,0,0.145846224
46,26,46,0,0,0.156667852
44,44,0,0,0,0.14955802
38,37,34,44,38,0.155121565
43,27,49,43,0,0.142033529
2,15,47,2,0,0.114258385
39,48,18,43,39,0.111272049
9,10,11,9,0,0.11013937
27,34,14,4,27,0.110703611
36,22,36,0,0,0.10520916
22,22,0,0,0,0.109406233
21,14,21,0,0,0.113793421
23,20,29,40,23,0.110946894
40,36,3,40,40,0.108562469
47,15,6,47,0,0.11691165
31,31,0,0,0,0.1123034
49,8,4,35,49,0.12243371
33,28,33,0,0,0.114480352
42,33,31,19,42,0.116547346
32,32,27,45,32,0.116026402
32,37,32,0,0,0.113079739
15,49,3,21,15,0.152453518
4,4,0,0,0,0.152204037
39,2,39,0,0,0.169372702
30,21,30,0,0,0.148278427
43,43,0,0,0,0.152019501
12,4,15,12,0,0.156066227
13,49,11,13,13,0.111581087
44,24,5,44,0,0.106734276
35,39,39,39,35,0.108766747
36,25,31,36,0,0.108462334
15,45,12,31,15,0.21825552
32,36,48,28,32,0.130251455
17,17,0,0,0,0.128029966
44,40,44,0,0,0.126660395
45,43,10,49,45,0.133158779
10,10,0,0,0,0.127619505
40,42,48,40,0,0.136566877
9,9,0,0,0,0.125323629
28,42,34,41,28,0.12432456
8,21,33,27,8,0.122452688
47,18,47,0,0,0.150391436
38,38,0,0,0,0.150398207
2,2,0,0,0,0.151906395
49,40,33,49,0,0.165150499
8,17,13,8,0,0.158698988
28,28,0,0,0,0.146309519
19,19,10,46,19,0.114188051
45,34,45,0,0,0.10984621
48,25,4,46,48,0.11549058
11,2,14,7,11,0.116470671
8,17,16,8,0,0.106976175
41,38,41,0,0,0.11539917
38,6,25,38,0,0.113334703
4,4,0,0,0,0.107060528
10,10,0,0,0,0.107752466
37,26,21,37,0,0.103409576
20,43,45,7,20,0.108758783
29,29,0,0,0,0.107038021
46,15,46,0,0,0.108902597
13,5,43,13,0,0.10917964
32,39,32,0,0,0.107982683
44,12,44,0,0,0.109683228
1,47,1,0,0,0.13446908
46,46,0,0,0,0.153452969
47,22,27,24,47,0.148279476
5,49,17,5,0,0.146742392
16,43,16,0,0,0.154264593
38,42,37,20,38,0.146151495
41,34,41,0,0,0.133425331
33,36,26,33,0,0.113202524
23,23,0,0,0,0.102409124
49,49,0,0,0,0.103032398
32,13,32,0,0,0.105738354
49,46,5,31,49,0.111446762
44,46,4,44,0,0.108342409
48,24,24,48,0,0.106124163
36,25,27,48,36,0.111664915
18,40,18,0,0,0.108482552
46,28,46,0,0,0.104160833
31,31,0,0,0,0.105761051
15,15,0,0,0,0.10572629
2,14,48,7,2,0.111181402
4,12,34,42,4,0.105434847
6,6,0,0,0,0.110104799
45,46,36,45,45,0.108245897
11,11,0,0,0,0.13781271
19,19,0,0,0,0.143897057
14,18,40,18,14,0.1509902
30,2,49,20,30,0.147801256
15,43,23,15,0,0.14662838
43,7,43,0,0,0.150096846
41,41,0,0,0,0.133175421
43,11,43,0,0,0.110249186
46,46,0,0,0,0.098765898
7,34,7,0,0,0.102867651
42,37,37,10,42,0.10962553
34,34,0,0,0,0.105259657
23,23,0,0,0,0.106776714
16,16,0,0,0,0.107194948
1,1,0,0,0,0.114609814
27,34,20,11,27,0.117544365
40,13,26,49,40,0.107442713
18,3,18,0,0,0.108963442
48,39,48,0,0,0.220246077
9,9,0,0,0,0.126846695
28,43,28,0,0,0.12998538
4,36,29,13,4,0.136701584
35,48,33,35,0,0.175375938
13,13,0,0,0,0.173338461
43,19,43,0,0,0.172438002
15,15,0,0,0,0.171999073
23,13,23,0,0,0.191374207
39,44,28,39,0,0.134146643
23,40,23,0,0,0.119321156
37,47,37,0,0,0.129812288
16,34,38,16,0,0.120970297
6,11,6,0,0,0.121337986
44,44,0,0,0,0.111838245
33,36,12,45,33,0.117469883
48,32,48,0,0,0.111970901
48,28,15,48,0,0.112711716
39,34,11,39,0,0.111516857
45,16,43,13,45,0.113034821
10,10,0,0,0,0.105911541
49,27,18,49,0,0.107636595
9,9,0,0,0,0.103545475
11,11,0,0,0,0.1090662
32,9,46,32,0,0.111727858
41,47,46,41,0,0.154324627
17,17,0,0,0,0.144772005
17,1,34,2,17,0.160023117
43,13,32,35,43,0.157225609
20,47,17,26,20,0.166962337
40,40,0,0,0,0.153453588
44,32,3,44,0,0.10630126
43,32,23,43,0,0.110001087
23,23,0,0,0,0.107786846
43,35,30,45,43,0.110354805
28,12,28,0,0,0.111207771
20,35,20,0,0,0.10942049
21,21,0,0,0,0.109697199
31,44,31,0,0,0.107070017
14,18,14,0,0,0.108213568
48,2,16,23,48,0.116228962
16,16,0,0,0,0.108849716
4,25,18,14,4,0.110702419
42,43,28,46,42,0.112075663
24,27,18,39,24,0.11547966
12,12,0,0,0,0.109278107
21,40,6,21,0,0.115354443
25,45,25,0,0,0.12129755
27,27,0,0,0,0.155700302
