Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Latency
41,32,30,41,0,0.121600628
17,11,24,17,0,0.113352108
24,24,0,0,0,0.116338539
5,24,5,0,0,0.116742325
8,11,8,0,0,0.12417717
9,26,39,26,9,0.183195353
24,47,34,24,0,0.163350439
7,7,0,0,0,0.168637848
45,29,38,44,45,0.162487793
11,11,0,0,0,0.138755655
25,46,26,25,0,0.15874176
37,26,13,22,37,0.15794096
6,2,43,6,0,0.120267725
20,9,6,20,0,0.116513109
8,40,8,0,0,0.121383095
29,29,0,0,0,0.112140036
9,9,0,0,0,0.119378948
28,28,0,0,0,0.112661791
12,33,12,0,0,0.110399008
48,16,48,0,0,0.121844721
30,28,31,43,30,0.115410566
5,4,4,7,5,0.113592196
45,15,48,45,0,0.11826601
32,13,25,20,32,0.115599155
1,32,1,0,0,0.126354885
15,15,0,0,0,0.122371578
24,4,24,35,24,0.117211342
36,6,36,0,0,0.127272987
15,36,33,49,15,0.16504879
10,10,0,0,0,0.158825731
18,41,18,0,0,0.162575293
40,37,40,0,0,0.153879261
14,48,14,0,0,0.274164391
30,4,30,0,0,0.167116737
7,46,14,7,0,0.132997847
6,6,0,0,0,0.13284936
18,29,34,18,0,0.135269117
12,12,0,0,0,0.129730082
21,21,0,0,0,0.134059858
24,24,0,0,0,0.135457802
4,20,11,21,4,0.144494295
25,25,0,0,0,0.12472744
7,7,0,0,0,0.12849493
44,3,30,44,0,0.129851675
25,38,25,0,0,0.124500608
4,4,0,0,0,0.125075912
23,26,5,23,0,0.129527855
45,8,45,0,0,0.132879686
13,12,3,13,0,0.200285149
39,11,46,26,39,0.148116684
29,29,0,0,0,0.186662102
41,28,27,15,41,0.177033663
38,20,38,0,0,0.159941864
8,33,8,0,0,0.17559309
31,7,31,0,0,0.126765203
32,32,0,0,0,0.122198296
49,44,10,12,49,0.130405045
24,22,24,0,0,0.119525003
35,13,46,35,0,0.120247078
24,22,35,24,0,0.11898942
20,3,5,20,0,0.119193888
39,19,47,39,0,0.121750593
29,37,14,15,29,0.113663387
33,40,44,33,0,0.120352602
21,2,21,0,0,0.120550919
28,34,28,0,0,0.120666361
39,6,39,0,0,0.119318247
20,28,20,0,0,0.124344063
32,35,32,0,0,0.126146269
29,36,26,9,29,0.188492823
6,47,40,6,0,0.166075039
16,27,25,38,16,0.172694921
46,48,46,0,0,0.155968523
32,33,32,0,0,0.189323378
48,7,39,48,0,0.179958439
9,3,45,10,9,0.141352177
13,43,1,13,0,0.116374874
26,38,21,28,26,0.126028204
32,36,14,12,32,0.118866062
13,27,23,26,13,0.124593925
19,19,0,0,0,0.113688087
17,49,24,17,0,0.118629122
36,36,36,0,0,0.12339201
26,45,18,26,0,0.1181458
4,26,4,0,0,0.121234035
40,40,0,0,0,0.116716719
34,44,34,0,0,0.116676903
4,12,4,0,0,0.124572754
9,45,9,0,0,0.122080612
10,28,38,10,0,0.129818296
17,31,5,19,17,0.131943321
16,16,0,0,0,0.160543108
39,44,27,39,0,0.15927515
47,47,30,49,47,0.167754459
24,24,0,0,0,0.166738176
26,26,0,0,0,0.149877691
40,8,32,40,0,0.146546936
5,22,30,5,0,0.17490592
33,33,0,0,0,0.138376331
24,24,0,0,0,0.116634607
16,40,33,16,0,0.117191839
41,26,41,0,0,0.115409899
27,27,0,0,0,0.116555023
31,43,31,0,0,0.118305159
42,41,42,0,0,0.118370962
40,49,20,40,0,0.122356272
26,37,20,3,26,0.119145918
24,27,41,16,24,0.141282988
22,7,22,0,0,0.135252476
13,2,32,5,13,0.144189215
12,25,7,36,12,0.140892029
45,14,2,38,45,0.136001348
36,36,0,0,0,0.184224844
18,48,47,39,18,0.191438293
8,8,0,0,0,0.170142698
26,42,26,0,0,0.177010155
9,14,5,28,9,0.178036976
49,17,49,0,0,0.165372753
14,29,14,0,0,0.143527222
4,15,4,0,0,0.126388836
20,20,0,0,0,0.116449165
38,29,43,43,38,0.1309515
2,2,0,0,0,0.121073627
26,26,0,0,0,0.11857872
39,32,37,15,39,0.119600868
38,5,33,7,38,0.121924257
6,13,6,0,0,0.123765469
43,41,28,36,43,0.121226501
21,21,0,0,0,0.113555861
36,36,0,0,0,0.11859374
20,9,43,5,20,0.12057209
10,39,13,9,10,0.123859453
17,6,17,0,0,0.114513063
4,4,0,0,0,0.151840591
28,28,0,0,0,0.150094318
11,33,39,11,0,0.174526787
22,36,22,0,0,0.166408539
5,47,45,33,5,0.185346699
3,32,28,20,3,0.16564064
4,4,0,0,0,0.158072758
38,47,32,38,0,0.126929379
17,49,17,0,0,0.123827362
41,41,0,0,0,0.12102356
2,10,2,0,0,0.118123102
22,18,37,22,0,0.119343758
10,43,29,46,10,0.119742441
24,10,24,0,0,0.123472643
48,32,14,29,48,0.121680403
2,8,48,21,2,0.121496344
6,19,32,33,6,0.123029232
21,29,21,0,0,0.129707432
9,29,12,9,0,0.120989704
44,4,24,14,44,0.121527719
49,6,10,49,0,0.117708921
4,4,0,0,0,0.122432041
30,11,3,4,30,0.162483025
30,30,30,0,0,0.164569759
6,6,0,0,0,0.168951464
25,20,25,0,0,0.157774687
8,12,8,0,0,0.169638729
6,29,6,0,0,0.148308563
31,47,31,0,0,0.173881435
5,40,5,0,0,0.135567236
47,6,47,0,0,0.117788839
21,38,21,0,0,0.113814735
7,14,10,25,7,0.115893602
37,18,14,37,0,0.122455406
26,26,0,0,0,0.119418478
14,14,0,0,0,0.114836359
36,8,2,48,36,0.118583202
9,19,19,9,0,0.119649935
47,38,22,31,47,0.121020412
42,48,42,0,0,0.113011408
24,24,0,0,0,0.119758034
2,22,23,35,2,0.125266981
27,48,24,12,27,0.120490599
6,45,6,0,0,0.11302762
37,37,0,0,0,0.1198318
48,44,48,0,0,0.279179573
28,7,28,0,0,0.18384428
27,27,13,8,27,0.198639202
18,11,23,18,0,0.182686281
33,18,29,44,33,0.201837492
9,9,0,0,0,0.14160552
23,49,23,0,0,0.137671518
5,30,5,0,0,0.147432423
22,9,37,38,22,0.139928389
2,28,2,0,0,0.125937796
30,30,0,0,0,0.124439096
25,44,11,25,0,0.128255272
34,30,30,41,34,0.13016758
34,30,34,0,0,0.12713933
25,28,25,0,0,0.123940468
47,9,9,47,47,0.127751112
24,42,43,2,24,0.12928195
46,6,34,46,0,0.132873487
34,17,40,4,34,0.128445005
18,10,18,0,0,0.181076193
22,38,22,0,0,0.182050228
9,37,9,0,0,0.168322515
16,16,0,0,0,0.170090437
1,28,1,0,0,0.164129782
10,1,10,0,0,0.163496637
15,2,27,2,15,0.143356085
9,9,0,0,0,0.119421339
32,17,29,28,32,0.118828106
3,20,14,27,3,0.123905945
36,9,18,6,36,0.116653156
11,14,7,23,11,0.117777252
44,26,17,44,0,0.120158815
49,49,0,0,0,0.117056131
48,31,48,0,0,0.1169168
45,16,21,45,0,0.118240643
24,3,43,16,24,0.123174477
7,18,43,33,7,0.126939678
6,4,45,25,6,0.119411802
11,11,0,0,0,0.119960451
33,31,33,0,0,0.114648151
8,33,37,8,0,0.124730539
17,16,3,17,0,0.160684538
46,33,41,46,0,0.159483242
6,6,0,0,0,0.156278181
7,7,0,0,0,0.172987127
14,14,0,0,0,0.160727882
14,14,0,0,0,0.183410501
23,38,15,17,23,0.176917744
7,32,36,35,7,0.121526241
11,11,0,0,0,0.125420332
8,8,0,0,0,0.121643543
34,27,9,19,34,0.121089458
21,41,21,0,0,0.11377821
37,37,37,0,0,0.125188684
47,47,0,0,0,0.11777463
17,17,0,0,0,0.12167201
26,11,26,0,0,0.116521025
31,46,31,0,0,0.119715738
37,7,25,37,0,0.124448776
3,33,20,3,0,0.118171453
27,25,41,3,27,0.119862032
11,4,13,18,11,0.119222498
12,2,12,0,0,0.116563702
22,22,0,0,0,0.140861034
31,16,43,31,0,0.137297535
25,49,33,2,25,0.133946943
19,5,48,19,0,0.162319565
10,10,0,0,0,0.173449707
45,21,45,0,0,0.163119316
42,23,23,42,0,0.16953845
38,22,44,38,0,0.17295084
10,47,3,10,0,0.130054522
20,5,20,0,0,0.116425657
16,15,16,0,0,0.115987873
5,3,5,0,0,0.224600506
46,40,46,0,0,0.136528301
34,34,0,0,0,0.134953594
5,35,5,0,0,0.135675716
16,16,0,0,0,0.142945576
24,34,47,24,0,0.142278767
49,40,24,46,49,0.136945391
31,19,31,0,0,0.139200258
18,18,0,0,0,0.139239311
27,12,27,0,0,0.124607325
1,33,36,34,1,0.150204039
10,46,25,44,10,0.187921381
19,22,19,0,0,0.149787045
11,11,0,0,0,0.16400795
40,20,40,0,0,0.143261957
47,30,30,6,47,0.196864557
2,9,2,0,0,0.175879097
18,44,18,0,0,0.14627943
4,4,0,0,0,0.118442106
35,36,46,40,35,0.116699409
5,26,24,5,0,0.123068857
38,38,0,0,0,0.121375656
18,3,16,18,0,0.119745016
10,10,19,36,10,0.121864367
24,19,6,24,0,0.117829847
7,26,27,2,7,0.122591162
14,22,26,5,14,0.120601892
5,17,49,37,5,0.119310904
1,1,0,0,0,0.13164258
12,12,0,0,0,0.117110157
20,26,25,20,0,0.116476107
41,38,4,41,0,0.12458992
31,32,16,31,0,0.159369469
8,45,26,16,8,0.183686304
38,38,0,0,0,0.171902847
1,1,7,1,0,0.180142164
2,2,0,0,0,0.156500721
45,29,44,4,45,0.179499865
14,34,2,20,14,0.164083719
9,9,0,0,0,0.122722912
2,2,0,0,0,0.116326284
44,44,44,0,0,0.123879099
6,11,21,36,6,0.124350119
18,7,37,26,18,0.121646309
49,15,34,23,49,0.113060665
35,18,5,14,35,0.120502901
6,28,6,0,0,0.114838982
2,2,0,0,0,0.114756536
14,11,3,5,14,0.117837286
26,26,0,0,0,0.11907239
38,38,0,0,0,0.126834822
45,19,3,45,0,0.125295687
20,20,0,0,0,0.122675228
22,22,0,0,0,0.125135183
16,16,0,0,0,0.14089632
22,33,22,0,0,0.17357192
5,31,5,0,0,0.171035337
3,24,6,1,3,0.178997993
28,28,0,0,0,0.182903624
7,18,33,7,0,0.174924183
11,39,12,11,0,0.172292185
48,8,33,48,0,0.119622469
27,27,0,0,0,0.125349808
38,7,38,0,0,0.115167427
29,1,29,0,0,0.117260122
2,43,43,26,2,0.121766281
43,30,32,43,0,0.123851538
21,49,21,0,0,0.116626215
21,11,24,21,0,0.118836641
1,41,4,18,1,0.127992725
15,25,13,15,0,0.123901176
31,31,0,0,0,0.119279337
35,40,22,19,35,0.11909771
46,46,46,0,0,0.115845299
17,31,16,21,17,0.226234627
14,7,14,0,0,0.181481218
46,24,46,0,0,0.170254898
39,31,39,0,0,0.196427298
21,43,13,21,0,0.180620718
11,17,11,0,0,0.182553864
29,44,40,11,29,0.181745005
21,21,0,0,0,0.145655394
42,48,45,42,0,0.132780266
41,42,12,41,0,0.132441664
22,43,22,22,0,0.137685633
9,13,9,0,0,0.127215481
14,14,0,0,0,0.131196117
38,38,0,0,0,0.129806376
25,28,24,3,25,0.118926239
38,8,38,38,0,0.129084063
31,49,14,46,31,0.129214716
1,35,1,0,0,0.125734186
45,6,32,45,0,0.121507978
29,48,18,29,0,0.124846268
11,11,0,0,0,0.124494171
15,15,0,0,0,0.129386377
13,14,34,13,0,0.161669493
45,27,45,45,0,0.160532188
20,20,0,0,0,0.158183479
26,39,5,26,0,0.153601313
12,12,0,0,0,0.175427532
17,36,43,1,17,0.16074481
12,15,12,0,0,0.183163357
47,32,47,0,0,0.12230444
14,11,38,27,14,0.117985773
3,38,3,0,0,0.117326927
42,7,42,0,0,0.115755177
40,35,27,40,0,0.11598587
17,17,0,0,0,0.113792467
22,21,4,23,22,0.116783667
19,19,0,0,0,0.117991543
26,26,0,0,0,0.116535902
16,37,10,16,0,0.116015768
16,28,6,21,16,0.115722752
41,40,41,0,0,0.11348691
6,7,40,1,6,0.11825676
31,40,31,0,0,0.115119505
42,13,28,6,42,0.11922946
14,29,44,46,14,0.120214272
32,16,32,0,0,0.146993828
26,26,0,0,0,0.159093618
18,34,1,18,0,0.164469147
28,15,17,28,0,0.161324596
5,16,5,0,0,0.175117922
36,1,29,36,0,0.154724836
45,34,45,0,0,0.183575058
30,5,30,0,0,0.124221611
46,31,42,22,46,0.12285037
37,35,37,0,0,0.117486238
38,43,26,44,38,0.12206831
37,38,37,0,0,0.119100428
16,16,0,0,0,0.124159431
19,18,23,41,19,0.120187235
43,11,43,0,0,0.11665616
35,35,0,0,0,0.11402297
44,20,22,32,44,0.123401308
35,35,0,0,0,0.126013708
16,16,0,0,0,0.114225578
15,43,6,24,15,0.126732397
10,22,44,10,0,0.11494894
38,38,0,0,0,0.118101454
32,32,0,0,0,0.134267044
4,10,31,45,4,0.141713572
11,11,0,0,0,0.120868063
42,42,0,0,0,0.147042513
35,35,0,0,0,0.180840731
46,46,46,0,0,0.297533178
32,33,32,0,0,0.170039845
5,48,14,33,5,0.166618538
20,32,4,10,20,0.137062883
1,46,1,0,0,0.141536951
24,3,11,17,24,0.135582924
41,41,0,0,0,0.133518791
26,19,4,46,26,0.14230442
20,17,41,20,0,0.127000713
26,39,26,0,0,0.133171225
49,4,2,49,0,0.132917547
20,20,0,0,0,0.118812084
9,31,33,34,9,0.117945099
13,32,24,19,13,0.131909227
44,42,16,5,44,0.123356056
31,31,0,0,0,0.118762207
17,17,0,0,0,0.122727537
24,24,0,0,0,0.144190264
32,6,40,46,32,0.142558908
30,42,30,0,0,0.138888311
15,43,15,0,0,0.148362064
25,2,5,3,25,0.165702629
30,30,0,0,0,0.172912884
21,21,0,0,0,0.162826109
28,49,28,0,0,0.166128635
39,39,0,0,0,0.129392767
27,32,4,26,27,0.122129679
21,3,43,31,21,0.124819422
31,4,13,31,0,0.116384935
5,5,0,0,0,0.117429066
20,2,33,20,0,0.120314074
16,48,18,16,0,0.118269157
39,21,39,0,0,0.119116831
9,1,44,11,9,0.122404194
24,13,36,24,0,0.120522118
6,6,0,0,0,0.121621799
27,27,0,0,0,0.112977695
29,22,36,7,29,0.115280676
44,38,45,20,44,0.121691847
33,33,0,0,0,0.117397833
36,18,4,36,36,0.159753132
27,8,35,27,0,0.156121206
24,35,24,0,0,0.140951538
45,30,45,0,0,0.18013258
14,47,14,0,0,0.168579149
45,45,0,0,0,0.140096807
5,5,0,0,0,0.16895237
23,8,38,44,23,0.15258894
27,46,29,31,27,0.121182013
23,46,49,23,0,0.116020775
45,45,0,0,0,0.116054296
7,26,24,22,7,0.112181854
20,24,20,0,0,0.115217829
22,47,16,17,22,0.117352962
24,46,4,29,24,0.119484186
39,27,4,49,39,0.121347857
41,13,41,0,0,0.117088985
47,39,30,47,0,0.116618729
44,22,32,44,0,0.118430138
6,24,28,5,6,0.119295549
38,38,0,0,0,0.118140888
24,42,8,24,0,0.119819975
28,7,41,1,28,0.12118001
34,28,34,0,0,0.163094807
20,20,0,0,0,0.185177231
8,26,8,0,0,0.15346756
19,49,47,24,19,0.17834897
32,16,21,27,32,0.159780788
42,11,16,37,42,0.183702469
38,38,0,0,0,0.144698429
29,20,44,7,29,0.118860483
16,23,34,16,0,0.116576052
40,34,40,0,0,0.118260717
40,25,40,0,0,0.122960472
40,40,0,0,0,0.22589879
19,42,19,0,0,0.141533995
40,1,40,0,0,0.135235691
25,25,25,0,0,0.133607626
25,40,14,25,0,0.132943106
39,22,39,0,0,0.135824919
24,24,0,0,0,0.129136801
15,15,0,0,0,0.126373911
6,15,44,10,6,0.134529114
9,18,31,9,0,0.153483105
19,38,19,0,0,0.170308352
33,19,20,43,33,0.171903992
33,35,33,0,0,0.15584116
13,31,34,13,0,0.169492722
35,35,0,0,0,0.1391922
13,18,13,0,0,0.169124889
42,1,42,0,0,0.158468914
33,33,0,0,0,0.128148794
31,29,45,35,31,0.118360376
31,28,31,0,0,0.115283108
14,7,25,14,0,0.117004585
37,2,1,44,37,0.120011711
20,39,20,20,0,0.120122433
30,36,15,9,30,0.119879675
39,33,42,23,39,0.110165501
34,6,35,47,34,0.113624907
42,42,0,0,0,0.112540436
6,48,7,48,6,0.119685602
49,49,0,0,0,0.113597536
39,39,0,0,0,0.11835165
46,5,46,0,0,0.118497562
18,20,22,18,0,0.115459251
24,39,24,0,0,0.130760336
30,40,39,12,30,0.15514555
29,34,48,29,0,0.162314129
31,6,19,31,0,0.188962364
32,32,0,0,0,0.125926352
41,42,24,41,0,0.153243065
7,7,0,0,0,0.158570147
2,1,21,2,0,0.156060028
3,33,34,3,0,0.137089443
36,33,29,36,0,0.11525383
26,31,28,15,26,0.123183727
30,16,30,0,0,0.116581297
18,30,18,0,0,0.115407372
25,23,13,25,0,0.120790577
3,3,0,0,0,0.116986799
38,21,38,0,0,0.118380642
14,31,39,14,0,0.11695118
15,26,15,0,0,0.111549807
28,36,40,38,28,0.119796371
31,31,0,0,0,0.114493656
37,18,6,2,37,0.117740202
32,15,32,0,0,0.113308334
12,12,0,0,0,0.114327049
36,22,36,0,0,0.12508316
11,3,1,8,11,0.1597785
39,40,1,5,39,0.141657162
49,4,49,0,0,0.156944942
45,28,45,0,0,0.161081171
34,34,0,0,0,0.162752247
12,12,0,0,0,0.167120743
3,21,13,3,0,0.177043295
34,6,34,0,0,0.127763081
31,31,0,0,0,0.119951153
38,34,38,0,0,0.121090984
30,22,20,30,0,0.116839933
25,45,25,0,0,0.116241217
39,31,39,0,0,0.114526987
31,31,0,0,0,0.121417284
14,4,14,0,0,0.117370462
13,13,0,0,0,0.114492989
12,42,32,26,12,0.11562686
21,14,49,21,0,0.112722015
1,33,19,1,0,0.223839903
14,14,0,0,0,0.133746433
21,14,9,36,21,0.139067602
5,35,49,5,0,0.171364355
29,29,0,0,0,0.215630388
40,4,40,0,0,0.190709114
36,36,0,0,0,0.176850891
17,17,0,0,0,0.184611034
40,6,14,40,0,0.185392809
8,29,30,8,0,0.134012318
26,12,15,26,0,0.12549324
41,41,0,0,0,0.128022623
18,48,18,0,0,0.122778511
27,24,27,0,0,0.124768734
24,24,0,0,0,0.119780636
12,12,29,12,0,0.130524635
38,38,0,0,0,0.123283291
15,19,15,0,0,0.119202328
3,2,38,6,3,0.125267363
37,28,4,29,37,0.122548151
21,49,45,9,21,0.119392776
42,19,42,0,0,0.118583059
13,16,34,39,13,0.122020912
41,30,21,34,41,0.124823141
39,38,49,36,39,0.150756788
44,9,26,48,44,0.157266951
7,5,16,43,7,0.149541759
49,49,0,0,0,0.162366629
40,22,40,0,0,0.146282291
3,35,27,3,0,0.172593498
9,7,17,36,9,0.171749926
11,30,17,37,11,0.14004674
27,9,27,27,0,0.114761591
19,41,19,0,0,0.115431786
20,36,34,28,20,0.118754292
28,6,31,6,28,0.116686487
3,3,0,0,0,0.116342115
36,17,36,0,0,0.117507648
18,47,34,42,18,0.116717911
49,49,0,0,0,0.121432114
30,30,0,0,0,0.111979532
6,6,0,0,0,0.116274643
10,30,4,42,10,0.122978354
27,19,24,27,0,0.120876074
3,24,27,3,0,0.120687866
10,18,31,2,10,0.115540743
46,4,15,46,0,0.121068668
11,8,11,0,0,0.159725618
29,11,29,0,0,0.153892851
4,35,4,0,0,0.159636116
43,35,4,43,0,0.150001812
10,33,45,10,10,0.177277279
28,36,34,28,0,0.163656664
30,17,31,10,30,0.177178621
5,5,0,0,0,0.119385958
40,40,0,0,0,0.113969612
2,3,2,0,0,0.11393714
27,27,0,0,0,0.11631999
12,12,0,0,0,0.120703888
36,32,37,36,0,0.115160799
20,20,45,20,0,0.112064457
9,27,9,0,0,0.12247076
20,23,18,20,0,0.117222548
7,12,7,0,0,0.116010284
20,10,32,12,20,0.119316578
8,8,0,0,0,0.115469027
1,48,1,0,0,0.121915293
39,39,0,0,0,0.115516138
35,17,41,35,0,0.11411891
8,31,9,26,8,0.131987667
6,31,9,16,6,0.155338955
29,26,29,0,0,0.26655283
21,10,8,49,21,0.191035128
18,24,38,18,0,0.172344971
17,17,0,0,0,0.182425165
35,19,35,0,0,0.138088179
38,38,0,0,0,0.132268286
31,34,31,0,0,0.130470943
22,9,22,0,0,0.13225565
39,31,39,0,0,0.135880518
26,30,28,26,0,0.135050774
41,41,0,0,0,0.129745913
16,28,15,16,0,0.132093048
43,31,43,0,0,0.129195738
44,23,44,0,0,0.120382738
7,42,13,7,0,0.121567965
11,48,11,0,0,0.122065401
35,19,5,13,35,0.129520082
5,37,44,5,0,0.11842227
3,18,5,45,3,0.144048262
48,27,48,0,0,0.155781651
32,7,10,27,32,0.134409809
2,30,44,27,2,0.154141378
16,48,16,0,0,0.152396965
46,46,0,0,0,0.169570827
34,13,34,0,0,0.186295986
20,31,37,20,0,0.141903305
12,48,5,12,0,0.129593563
47,46,27,9,47,0.125243187
47,38,47,0,0,0.1215693
26,40,26,0,0,0.122941065
9,37,9,0,0,0.117985106
6,5,38,6,0,0.110766411
7,7,0,0,0,0.122231245
14,42,13,29,14,0.109506369
15,33,24,43,15,0.120312071
5,5,0,0,0,0.114401722
20,34,6,20,0,0.12217617
26,26,0,0,0,0.114267683
11,30,37,11,0,0.116586971
49,49,49,0,0,0.1141994
19,20,8,19,0,0.12791667
47,47,0,0,0,0.141047907
16,2,16,0,0,0.149460173
3,44,3,0,0,0.160755634
44,44,0,0,0,0.164158154
43,7,43,0,0,0.16773386
45,45,0,0,0,0.124333763
38,44,11,28,38,0.16352191
35,35,0,0,0,0.150816584
36,1,36,0,0,0.130803013
3,3,0,0,0,0.125556374
8,8,0,0,0,0.124763298
29,49,26,29,0,0.121071196
3,14,46,3,0,0.117745972
42,1,5,8,42,0.120017004
33,4,33,0,0,0.122361946
6,5,46,36,6,0.11591053
26,22,11,26,0,0.120470381
35,42,38,6,35,0.118609762
22,37,15,22,0,0.114141083
4,43,26,41,4,0.117366838
40,40,0,0,0,0.123278904
10,40,2,10,0,0.115160275
13,13,0,0,0,0.119306374
10,10,0,0,0,0.14259057
15,9,43,26,15,0.152741432
45,29,45,0,0,0.151752186
4,4,0,0,0,0.149720764
40,40,0,0,0,0.136314487
12,44,12,0,0,0.17006278
31,31,0,0,0,0.143622637
42,25,48,42,0,0.171955585
2,2,0,0,0,0.127629089
18,49,18,6,18,0.128371477
43,45,34,43,0,0.114931488
26,26,0,0,0,0.218400478
4,21,49,37,4,0.132451296
3,3,0,0,0,0.132442284
33,27,47,33,0,0.130605936
28,41,16,28,0,0.136373758
5,25,5,0,0,0.134561634
16,31,30,28,16,0.137425137
24,24,0,0,0,0.129899693
42,5,26,42,0,0.128700161
32,20,13,21,32,0.131445837
32,44,48,32,0,0.130867052
17,40,36,17,0,0.175789642
37,8,26,37,0,0.165675592
3,3,0,0,0,0.154540443
27,27,0,0,0,0.169087505
9,32,39,49,9,0.17828455
33,18,37,48,33,0.168797016
23,26,28,46,23,0.154703569
25,13,40,25,0,0.113280582
14,6,2,14,0,0.114241266
12,12,0,0,0,0.115871239
4,45,4,0,0,0.119464588
11,11,0,0,0,0.119679451
11,1,11,0,0,0.11514616
8,3,35,14,8,0.119277096
13,46,13,0,0,0.117173433
45,18,45,0,0,0.118477345
30,38,22,8,30,0.116333771
18,14,32,18,0,0.117259026
38,11,38,0,0,0.121192551
2,10,2,0,0,0.118185759
6,6,0,0,0,0.113482714
41,31,41,0,0,0.120537663
34,34,0,0,0,0.125131941
28,38,10,23,28,0.142323208
8,18,8,0,0,0.154035044
21,26,21,0,0,0.174547577
37,46,37,0,0,0.148762035
11,39,40,11,0,0.149410391
30,40,26,30,0,0.170621395
12,11,12,12,0,0.175049829
5,36,36,37,5,0.129919529
43,1,12,43,0,0.122641373
45,42,45,0,0,0.114432287
33,45,5,12,33,0.11857276
35,16,35,0,0,0.117110443
7,41,7,0,0,0.113197613
39,18,31,39,0,0.118097878
36,26,4,36,0,0.113614416
23,13,15,23,0,0.114449358
29,29,38,35,29,0.121928978
21,40,9,21,0,0.114571762
4,4,0,0,0,0.114112186
16,46,41,40,16,0.11542592
29,10,1,34,29,0.117957163
49,49,0,0,0,0.115676403
19,47,43,17,19,0.125642872
32,11,4,32,32,0.167654991
1,12,25,17,1,0.19003706
36,27,14,36,36,0.16757865
42,31,42,0,0,0.152806568
32,41,38,32,0,0.15000596
17,36,17,0,0,0.160557652
16,14,20,42,16,0.146860456
35,12,44,35,0,0.118669844
34,34,46,26,34,0.114752388
40,40,0,0,0,0.113577843
14,14,0,0,0,0.114163828
3,3,0,0,0,0.111225319
28,14,24,28,0,0.118006277
44,6,44,44,0,0.115826511
34,38,44,39,34,0.123617744
39,18,28,39,0,0.213117886
23,7,24,23,0,0.139804792
21,21,0,0,0,0.129047203
31,14,16,31,0,0.135722065
26,26,0,0,0,0.130476999
47,47,0,0,0,0.127948761
32,40,33,32,0,0.162130547
13,13,0,0,0,0.1896595
38,36,38,0,0,0.19493556
9,28,35,9,0,0.175603962
38,29,48,45,38,0.177402639
1,1,0,0,0,0.182917356
2,6,2,0,0,0.127477312
15,46,46,15,0,0.123549414
7,48,7,0,0,0.122613192
17,14,13,2,17,0.122483444
20,3,20,0,0,0.117236853
10,10,0,0,0,0.120863867
20,43,47,26,20,0.121041679
34,23,34,0,0,0.116206455
38,49,20,38,0,0.120168209
5,29,18,38,5,0.124760914
32,34,19,47,32,0.112538862
20,27,20,0,0,0.118857002
6,18,14,8,6,0.122583294
31,31,0,0,0,0.122014523
31,31,0,0,0,0.11496644
46,18,39,46,0,0.15836587
47,9,35,30,47,0.194613218
17,17,0,0,0,0.175953531
43,5,43,0,0,0.167773867
16,16,0,0,0,0.198728561
17,17,0,0,0,0.172514486
13,39,14,13,0,0.125873137
46,18,20,1,46,0.116574383
47,47,0,0,0,0.118655777
34,21,48,34,0,0.119097042
31,26,31,0,0,0.118610334
8,9,8,0,0,0.114963436
8,22,29,19,8,0.125553465
39,42,17,39,0,0.121484661
17,42,17,0,0,0.119313478
43,43,0,0,0,0.119515896
12,12,0,0,0,0.117209816
17,17,0,0,0,0.115148735
41,37,29,2,41,0.117539454
35,35,0,0,0,0.120285988
16,16,0,0,0,0.112236071
48,37,24,48,0,0.136465788
43,12,31,28,43,0.166490841
30,1,30,0,0,0.145159531
27,4,27,0,0,0.17304492
17,17,0,0,0,0.163972616
15,13,15,0,0,0.15357933
24,42,30,19,24,0.176616287
24,15,18,24,0,0.13044591
38,38,0,0,0,0.119879532
19,30,14,19,0,0.116468143
12,12,0,0,0,0.113150692
17,44,17,7,17,0.115110254
5,35,12,5,0,0.119823503
42,13,13,7,42,0.118182516
31,11,31,0,0,0.118757677
22,22,0,0,0,0.116094637
15,15,0,0,0,0.112331724
43,32,43,0,0,0.112715101
20,17,20,0,0,0.117438316
41,6,41,0,0,0.122691488
34,30,34,0,0,0.114270496
25,44,25,0,0,0.11833725
41,41,0,0,0,0.114063311
45,22,21,21,45,0.159777355
33,33,0,0,0,0.132779646
18,18,0,0,0,0.161741114
9,41,9,0,0,0.149351263
30,4,30,0,0,0.141672564
5,40,18,5,0,0.184516621
16,16,0,0,0,0.16943593
44,12,44,44,0,0.135181713
12,12,0,0,0,0.13545866
22,22,22,0,0,0.1347363
29,5,14,29,0,0.143045092
30,4,30,0,0,0.144854021
33,33,0,0,0,0.129671335
29,10,42,43,29,0.134033108
24,24,0,0,0,0.13370223
5,5,0,0,0,0.124914026
16,16,0,0,0,0.126361322
26,26,0,0,0,0.120101643
2,8,47,2,0,0.121557665
39,28,22,39,0,0.12791214
38,21,9,3,38,0.120777178
3,6,9,3,0,0.170355225
30,11,30,0,0,0.168186522
43,43,0,0,0,0.138535452
18,1,10,5,18,0.18308506
47,26,47,0,0,0.18144989
46,24,33,46,0,0.163111353
46,13,9,46,0,0.136918545
16,38,34,44,16,0.121078968
34,24,42,19,34,0.115574503
22,48,48,15,22,0.119317865
40,2,43,40,40,0.124960423
29,44,29,0,0,0.119367933
7,12,1,7,0,0.117414331
40,46,12,30,40,0.116674519
22,32,22,0,0,0.113897038
37,21,3,23,37,0.119855022
